,NPI,ProviderFirstName,ProviderLastName(LegalName),ProviderOrganizationName(LegalBusinessName),EntityTypeCode,HealthcareProviderTaxonomyCode,communityId,Code,Grouping,Classification,Specialization,Definition,Notes,Display Name,Section
920,1831186188,ANGELA,GASKIN,,1.0,207Q00000X,5132,207Q00000X,Allopathic & Osteopathic Physicians,Family Medicine,,"Family Medicine is the medical specialty which is concerned with the total health care of the individual and the family. It is the specialty in breadth which integrates the biological, clinical, and behavioral sciences. The scope of family medicine is not limited by age, sex, organ system, or disease entity.","Source:  American Board of Family Medicine [1/1/2007: changed title; 7/1/2007: added definition, added source; 7/1/2017: modified definition]<br/>Note:  The American Osteopathic Board of Family Physicians certification includes extensive use of Osteopathic Manipulative Treatment (OMT), which integrates the biological, clinical, and behavioral sciences.<br/>Additional Resources:  American Board of Family Medicine, www.theabfm.org.  American Osteopathic Board of Family Physicians, www.osteopathic.org/certification<br/>Board certification for Medical Doctors (MDs) is provided by the American Board of Family Medicine. Board certification for Doctors of Osteopathy (DOs) is provided by the American Osteopathic Board of Family Physicians or the American Board of Family Medicine.",Family Medicine Physician,Individual
921,1285753293,VINCENT,MORELLI,,1.0,207Q00000X,5132,207Q00000X,Allopathic & Osteopathic Physicians,Family Medicine,,"Family Medicine is the medical specialty which is concerned with the total health care of the individual and the family. It is the specialty in breadth which integrates the biological, clinical, and behavioral sciences. The scope of family medicine is not limited by age, sex, organ system, or disease entity.","Source:  American Board of Family Medicine [1/1/2007: changed title; 7/1/2007: added definition, added source; 7/1/2017: modified definition]<br/>Note:  The American Osteopathic Board of Family Physicians certification includes extensive use of Osteopathic Manipulative Treatment (OMT), which integrates the biological, clinical, and behavioral sciences.<br/>Additional Resources:  American Board of Family Medicine, www.theabfm.org.  American Osteopathic Board of Family Physicians, www.osteopathic.org/certification<br/>Board certification for Medical Doctors (MDs) is provided by the American Board of Family Medicine. Board certification for Doctors of Osteopathy (DOs) is provided by the American Osteopathic Board of Family Physicians or the American Board of Family Medicine.",Family Medicine Physician,Individual
922,1598860157,GITA,MISHRA,,1.0,207Q00000X,291,207Q00000X,Allopathic & Osteopathic Physicians,Family Medicine,,"Family Medicine is the medical specialty which is concerned with the total health care of the individual and the family. It is the specialty in breadth which integrates the biological, clinical, and behavioral sciences. The scope of family medicine is not limited by age, sex, organ system, or disease entity.","Source:  American Board of Family Medicine [1/1/2007: changed title; 7/1/2007: added definition, added source; 7/1/2017: modified definition]<br/>Note:  The American Osteopathic Board of Family Physicians certification includes extensive use of Osteopathic Manipulative Treatment (OMT), which integrates the biological, clinical, and behavioral sciences.<br/>Additional Resources:  American Board of Family Medicine, www.theabfm.org.  American Osteopathic Board of Family Physicians, www.osteopathic.org/certification<br/>Board certification for Medical Doctors (MDs) is provided by the American Board of Family Medicine. Board certification for Doctors of Osteopathy (DOs) is provided by the American Osteopathic Board of Family Physicians or the American Board of Family Medicine.",Family Medicine Physician,Individual
923,1952389173,MILLARD,COLLINS,,1.0,207Q00000X,2683,207Q00000X,Allopathic & Osteopathic Physicians,Family Medicine,,"Family Medicine is the medical specialty which is concerned with the total health care of the individual and the family. It is the specialty in breadth which integrates the biological, clinical, and behavioral sciences. The scope of family medicine is not limited by age, sex, organ system, or disease entity.","Source:  American Board of Family Medicine [1/1/2007: changed title; 7/1/2007: added definition, added source; 7/1/2017: modified definition]<br/>Note:  The American Osteopathic Board of Family Physicians certification includes extensive use of Osteopathic Manipulative Treatment (OMT), which integrates the biological, clinical, and behavioral sciences.<br/>Additional Resources:  American Board of Family Medicine, www.theabfm.org.  American Osteopathic Board of Family Physicians, www.osteopathic.org/certification<br/>Board certification for Medical Doctors (MDs) is provided by the American Board of Family Medicine. Board certification for Doctors of Osteopathy (DOs) is provided by the American Osteopathic Board of Family Physicians or the American Board of Family Medicine.",Family Medicine Physician,Individual
924,1306831284,STEVEN,JOHNSON,,1.0,207Q00000X,2683,207Q00000X,Allopathic & Osteopathic Physicians,Family Medicine,,"Family Medicine is the medical specialty which is concerned with the total health care of the individual and the family. It is the specialty in breadth which integrates the biological, clinical, and behavioral sciences. The scope of family medicine is not limited by age, sex, organ system, or disease entity.","Source:  American Board of Family Medicine [1/1/2007: changed title; 7/1/2007: added definition, added source; 7/1/2017: modified definition]<br/>Note:  The American Osteopathic Board of Family Physicians certification includes extensive use of Osteopathic Manipulative Treatment (OMT), which integrates the biological, clinical, and behavioral sciences.<br/>Additional Resources:  American Board of Family Medicine, www.theabfm.org.  American Osteopathic Board of Family Physicians, www.osteopathic.org/certification<br/>Board certification for Medical Doctors (MDs) is provided by the American Board of Family Medicine. Board certification for Doctors of Osteopathy (DOs) is provided by the American Osteopathic Board of Family Physicians or the American Board of Family Medicine.",Family Medicine Physician,Individual
925,1538260385,PEARLINE,BUTCHER,,1.0,207Q00000X,136,207Q00000X,Allopathic & Osteopathic Physicians,Family Medicine,,"Family Medicine is the medical specialty which is concerned with the total health care of the individual and the family. It is the specialty in breadth which integrates the biological, clinical, and behavioral sciences. The scope of family medicine is not limited by age, sex, organ system, or disease entity.","Source:  American Board of Family Medicine [1/1/2007: changed title; 7/1/2007: added definition, added source; 7/1/2017: modified definition]<br/>Note:  The American Osteopathic Board of Family Physicians certification includes extensive use of Osteopathic Manipulative Treatment (OMT), which integrates the biological, clinical, and behavioral sciences.<br/>Additional Resources:  American Board of Family Medicine, www.theabfm.org.  American Osteopathic Board of Family Physicians, www.osteopathic.org/certification<br/>Board certification for Medical Doctors (MDs) is provided by the American Board of Family Medicine. Board certification for Doctors of Osteopathy (DOs) is provided by the American Osteopathic Board of Family Physicians or the American Board of Family Medicine.",Family Medicine Physician,Individual
926,1356533954,,,"PREMIER MEDICAL CENTRE, LLC",2.0,207Q00000X,136,207Q00000X,Allopathic & Osteopathic Physicians,Family Medicine,,"Family Medicine is the medical specialty which is concerned with the total health care of the individual and the family. It is the specialty in breadth which integrates the biological, clinical, and behavioral sciences. The scope of family medicine is not limited by age, sex, organ system, or disease entity.","Source:  American Board of Family Medicine [1/1/2007: changed title; 7/1/2007: added definition, added source; 7/1/2017: modified definition]<br/>Note:  The American Osteopathic Board of Family Physicians certification includes extensive use of Osteopathic Manipulative Treatment (OMT), which integrates the biological, clinical, and behavioral sciences.<br/>Additional Resources:  American Board of Family Medicine, www.theabfm.org.  American Osteopathic Board of Family Physicians, www.osteopathic.org/certification<br/>Board certification for Medical Doctors (MDs) is provided by the American Board of Family Medicine. Board certification for Doctors of Osteopathy (DOs) is provided by the American Osteopathic Board of Family Physicians or the American Board of Family Medicine.",Family Medicine Physician,Individual
927,1013902782,ROBERT,BISHOP,,1.0,207Q00000X,2683,207Q00000X,Allopathic & Osteopathic Physicians,Family Medicine,,"Family Medicine is the medical specialty which is concerned with the total health care of the individual and the family. It is the specialty in breadth which integrates the biological, clinical, and behavioral sciences. The scope of family medicine is not limited by age, sex, organ system, or disease entity.","Source:  American Board of Family Medicine [1/1/2007: changed title; 7/1/2007: added definition, added source; 7/1/2017: modified definition]<br/>Note:  The American Osteopathic Board of Family Physicians certification includes extensive use of Osteopathic Manipulative Treatment (OMT), which integrates the biological, clinical, and behavioral sciences.<br/>Additional Resources:  American Board of Family Medicine, www.theabfm.org.  American Osteopathic Board of Family Physicians, www.osteopathic.org/certification<br/>Board certification for Medical Doctors (MDs) is provided by the American Board of Family Medicine. Board certification for Doctors of Osteopathy (DOs) is provided by the American Osteopathic Board of Family Physicians or the American Board of Family Medicine.",Family Medicine Physician,Individual
928,1477548154,GEORGE,HOLMES,,1.0,207Q00000X,2683,207Q00000X,Allopathic & Osteopathic Physicians,Family Medicine,,"Family Medicine is the medical specialty which is concerned with the total health care of the individual and the family. It is the specialty in breadth which integrates the biological, clinical, and behavioral sciences. The scope of family medicine is not limited by age, sex, organ system, or disease entity.","Source:  American Board of Family Medicine [1/1/2007: changed title; 7/1/2007: added definition, added source; 7/1/2017: modified definition]<br/>Note:  The American Osteopathic Board of Family Physicians certification includes extensive use of Osteopathic Manipulative Treatment (OMT), which integrates the biological, clinical, and behavioral sciences.<br/>Additional Resources:  American Board of Family Medicine, www.theabfm.org.  American Osteopathic Board of Family Physicians, www.osteopathic.org/certification<br/>Board certification for Medical Doctors (MDs) is provided by the American Board of Family Medicine. Board certification for Doctors of Osteopathy (DOs) is provided by the American Osteopathic Board of Family Physicians or the American Board of Family Medicine.",Family Medicine Physician,Individual
929,1184886285,,,"VENKAT REDDY, MDPC",2.0,207Q00000X,944,207Q00000X,Allopathic & Osteopathic Physicians,Family Medicine,,"Family Medicine is the medical specialty which is concerned with the total health care of the individual and the family. It is the specialty in breadth which integrates the biological, clinical, and behavioral sciences. The scope of family medicine is not limited by age, sex, organ system, or disease entity.","Source:  American Board of Family Medicine [1/1/2007: changed title; 7/1/2007: added definition, added source; 7/1/2017: modified definition]<br/>Note:  The American Osteopathic Board of Family Physicians certification includes extensive use of Osteopathic Manipulative Treatment (OMT), which integrates the biological, clinical, and behavioral sciences.<br/>Additional Resources:  American Board of Family Medicine, www.theabfm.org.  American Osteopathic Board of Family Physicians, www.osteopathic.org/certification<br/>Board certification for Medical Doctors (MDs) is provided by the American Board of Family Medicine. Board certification for Doctors of Osteopathy (DOs) is provided by the American Osteopathic Board of Family Physicians or the American Board of Family Medicine.",Family Medicine Physician,Individual
